type,prompt,treatment,mission,denial,risktol,timeurg
1,8,5,2,2,2,3
1,8,6,2,2,2,8
1,8,8,8,2,2,8
1,8,9,7,6,3,6
1,8,5,3,7,2,2
1,8,6,7,7,3,4
1,8,8,2,2,2,2
1,8,9,2,2,2,4
1,8,5,2,2,6,6
1,8,6,2,2,8,8
1,8,8,7,8,8,8
1,8,9,4,3,6,3
1,8,5,0,2,4,2
1,8,6,4,2,4,4
