"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn5923759","Game Levels.xlsx","2","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","9760","3338734","1460786302301","3338734","1463449408098","syn5909526","https://www.synapse.org/#!Synapse:syn5923759.2","d6b16db693dac8f3fb864d79fd4c5e9b"
"syn5923783","Worker Agents.xlsx","2","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","10079","3338734","1460786946812","3338734","1463449428743","syn5909526","https://www.synapse.org/#!Synapse:syn5923783.2","4ff08a1cf9af6d9fffcf191d498d7cd7"
"syn5923785","Tasks.xlsx","3","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","10249","3338734","1460787118165","3338734","1464765476626","syn5909526","https://www.synapse.org/#!Synapse:syn5923785.3","b69aca17d3956f5a2657e1a991190182"
"syn5923730","Users.xlsx","6","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","115871","3338734","1460784786277","3338734","1477618979072","syn5909526","https://www.synapse.org/#!Synapse:syn5923730.6","bcd727e32174229aae768a45bd4b279c"
"syn7071713","Readme.pdf","5","application/pdf","343668","3338734","1469181132451","3338734","1482371457403","syn5909526","https://www.synapse.org/#!Synapse:syn7071713.5","4b8c647115f388efa9374c94d72e3a5d"
"syn5923733","Game Sessions.xlsx","7","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","1780210","3338734","1460784941169","3338734","1477550679379","syn5909526","https://www.synapse.org/#!Synapse:syn5923733.7","7f179776ef7cf8d78efe65335cd7309e"
"syn5923736","Decisions.xlsx","4","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","28024874","3338734","1460785417025","3338734","1477550814336","syn5909526","https://www.synapse.org/#!Synapse:syn5923736.4","08553d44d58497df762fd38704051449"
